environment,worker,episode,step,agent,state,reward,goal_distance,travel_time,action_x,action_y,closest_obstacle_distance
random_easy,0,1000,1,agent_1,active,-5.041152269122291,15.132745950421556,1,0,0,8.0
random_easy,0,1000,2,agent_1,active,-5.046948366546973,14.142135623730951,2,0,0,8.0
random_easy,0,1000,3,agent_1,active,-5.054054071174772,13.152946437965905,3,0,0,8.0
random_easy,0,1000,4,agent_1,active,-5.062893113152667,12.165525060596439,4,0,0,8.0
random_easy,0,1000,5,agent_1,active,-5.074074134512552,11.180339887498949,5,0,0,8.0
random_easy,0,1000,6,agent_1,active,-5.0884956984331,10.198039027185569,6,0,0,8.0
random_easy,0,1000,7,agent_1,active,-5.1075271505365905,9.219544457292887,7,0,0,8.0
random_easy,0,1000,8,agent_1,active,-5.1333339697121705,8.246211251235321,8,0,0,8.0
random_easy,0,1000,9,agent_1,active,-5.169493190225984,7.280109889280518,9,0,0,8.0
random_easy,0,1000,10,agent_1,active,-5.222227155281205,6.324555320336759,10,0,0,8.0
random_easy,0,1000,11,agent_1,active,-5.3030474339887235,5.385164807134504,11,0,0,8.0
random_easy,0,1000,12,agent_1,active,-5.434855739325379,4.47213595499958,12,0,0,8.0
random_easy,0,1000,13,agent_1,active,-3.450708525844,3.1622776601683795,13,0,0,9.0
random_easy,0,1000,14,agent_1,active,-5.368951586657051,2.23606797749979,14,0,0,9.0
random_easy,0,1000,15,agent_1,active,-3.819660112501051,1.0,15,0,0,10.0
random_easy,0,1000,16,agent_1,terminated,45.0,0.0,16,0,0,10.0
random_hard,0,100,1,agent_1,active,-5.081284916472826,5.0990195135927845,1,0,0,4.0
random_hard,0,100,2,agent_1,active,-5.1204305601243805,4.123105625617661,2,0,0,4.0
random_hard,0,100,3,agent_1,active,-5.195860172753594,3.1622776601683795,3,0,0,4.0
random_hard,0,100,4,agent_1,active,-5.368951586657051,2.23606797749979,4,0,0,4.0
random_hard,0,100,5,agent_1,active,-5.8907279243665265,1.4142135623730951,5,0,0,4.0
random_hard,0,100,6,agent_1,active,47.071067811865476,0.0,6,0,0,5.0
random_hard,0,100,7,agent_1,active,-10.0,9.433981132056603,7,0,0,4.554799148819706
random_hard,0,100,8,agent_1,active,-3.14138308120973,8.06225774829855,8,0,0,3.8979448993273245
random_hard,0,100,9,agent_1,active,-5.744224013147146,7.211102550927978,9,0,0,3.8979448993273245
random_hard,0,100,10,agent_1,active,-3.0992467195866125,5.830951894845301,10,0,0,3.0355339059327378
random_hard,0,100,11,agent_1,active,-3.2059203007713943,4.47213595499958,11,0,0,2.4154759474226504
random_hard,0,100,12,agent_1,active,-3.450708525844,3.1622776601683795,12,0,0,2.4154759474226504
