task,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state
task8_random_1,20,482,agent_1,18.463903,9.676586,1.4023660738540151,-0.28110581636428833,4.463903427124023,0.16081977,-0.2970379,-0.9908597,22.79348,-5.567489,0.0,0.0,active
task8_random_1,20,483,agent_1,18.44451,9.703556,1.370531133771365,-0.29309922456741333,4.444509506225586,0.033218622,0.0051487195,-1.7744145,21.019093,-5.567516,0.0,0.0,active
task8_random_1,20,484,agent_1,18.424915,9.732367,1.336954583091675,-0.27383261919021606,4.424915313720703,0.03484273,-0.026141047,-1.763115,19.25666,-5.568199,0.0,0.0,active
task8_random_1,20,485,agent_1,18.406246,9.757987,1.306764018329279,-0.31358271837234497,4.406246185302734,0.03170085,0.03243611,-1.7866976,17.471016,-5.569251,0.0,0.0,active
task8_random_1,20,486,agent_1,18.3891,9.783698,1.2770232894661173,-0.27858906984329224,4.38909912109375,0.030904531,-0.04149661,-1.7912092,15.681529,-5.570973,0.0,0.0,active
task8_random_1,20,487,agent_1,18.370903,9.811353,1.2451712250119213,-0.2794855237007141,4.370903015136719,0.033103466,-0.0062550497,-1.7745719,13.906996,-5.571012,0.0,0.0,active
task8_random_1,20,488,agent_1,18.359926,9.895359,1.1617996981356113,0.1850544810295105,4.359926223754883,0.08472085,-0.45202073,-1.6180234,12.493295,-5.775335,0.0,0.0,active
task8_random_1,20,489,agent_1,18.350119,9.917063,1.1381283438671765,-0.11175377666950226,4.350118637084961,0.0238173,0.29452273,-1.9207523,10.6592865,-5.8620787,0.0,0.0,active
task8_random_1,20,490,agent_1,18.340729,9.950125,1.1037817483680403,0.0370752178132534,4.340728759765625,0.034369946,-0.14770882,-1.781345,8.899759,-5.8838964,0.0,0.0,active
task8_random_1,20,491,agent_1,18.32731,9.974061,1.0768857927527697,-0.20209486782550812,4.327310562133789,0.027440548,0.23417982,-1.8654794,7.08912,-5.9387364,0.0,0.0,active
task8_random_1,20,492,agent_1,18.314322,9.996713,1.051372176644631,-0.21701747179031372,4.314321517944336,0.026111603,0.009700904,-1.8203027,5.2689114,-5.9388304,0.0,0.0,active
task8_random_1,20,493,agent_1,18.296503,10.024342,1.0197173210853863,-0.2777565121650696,4.296503067016602,0.032876015,0.05216439,-1.7786947,3.4929376,-5.9415517,0.0,0.0,active
task8_random_1,20,494,agent_1,18.282679,10.05049,0.990694560885876,-0.19697505235671997,4.282678604125977,0.029577732,-0.0864582,-1.8032057,1.6972069,-5.9490266,0.0,0.0,active
task8_random_1,20,495,agent_1,18.260376,10.076284,0.9597114894711728,-0.43816882371902466,4.2603759765625,0.034099102,0.22658937,-1.8282292,-0.07967961,-6.0003695,0.0,0.0,active
task8_random_1,20,496,agent_1,18.248404,10.103196,0.930570512751328,-0.14835768938064575,4.248403549194336,0.029454708,-0.29434785,-1.8820264,-1.8750653,-6.0870104,0.0,0.0,active
task8_random_1,20,497,agent_1,18.230469,10.127994,0.9019484657291725,-0.36774951219558716,4.23046875,0.030602932,0.20756705,-1.8387679,-3.6707492,-6.1300945,0.0,0.0,active
task8_random_1,20,498,agent_1,18.220934,10.148306,0.8798833140992389,-0.18509703874588013,4.22093391418457,0.022439003,-0.18722993,-1.8798512,-5.5155454,-6.1651497,0.0,0.0,active
task8_random_1,20,499,agent_1,18.195711,10.182953,0.8401600107106221,-0.39415106177330017,4.195711135864258,0.04285574,0.19034795,-1.7519044,-7.2312174,-6.201382,0.0,0.0,active
task8_random_1,20,500,agent_1,18.186213,10.209346,0.812286369534735,-0.11417371779680252,4.186212539672852,0.028050184,-0.2837805,-1.8850628,-9.0357485,-6.2819138,0.0,0.0,active
task8_random_1,20,501,agent_1,18.171387,10.228506,0.7903013749327915,-0.43996554613113403,4.17138671875,0.02422738,0.3130892,-1.939645,-10.877369,-6.3799386,0.0,0.0,active
task8_random_1,20,502,agent_1,18.16368,10.254181,0.7635685777781513,-0.07558996230363846,4.163679122924805,0.026806831,-0.3669378,-1.9473656,-12.690091,-6.514582,0.0,0.0,active
task8_random_1,20,503,agent_1,18.15048,10.273077,0.7423350615149911,-0.4055769741535187,4.150480270385742,0.023049593,0.31807616,-1.9489057,-14.537825,-6.6157546,0.0,0.0,active
task8_random_1,20,504,agent_1,18.146563,10.286058,0.728829993889908,-0.09065181761980057,4.146562576293945,0.013560295,-0.31657848,-2.005576,-16.443178,-6.7159767,0.0,0.0,active
task8_random_1,20,505,agent_1,18.131042,10.308369,0.7039360841258081,-0.4205658733844757,4.13104248046875,0.027177572,0.31469008,-1.9202052,-18.264353,-6.8150067,0.0,0.0,active
task8_random_1,20,506,agent_1,18.12412,10.332482,0.6789593363106837,-0.09568434953689575,4.124120712280273,0.025087357,-0.3282865,-1.9327135,-20.089294,-6.9227786,0.0,0.0,active
task8_random_1,20,507,agent_1,18.10232,10.362318,0.6458386857653187,-0.47193270921707153,4.102319717407227,0.036952257,0.35150385,-1.8840472,-21.849787,-7.046334,0.0,0.0,active
task8_random_1,20,508,agent_1,18.096352,10.384838,0.622661861159809,-0.10369903594255447,4.096351623535156,0.023297787,-0.371968,-1.9758805,-23.687307,-7.184694,0.0,0.0,active
task8_random_1,20,509,agent_1,18.078966,10.409795,0.595464374010955,-0.47545507550239563,4.07896614074707,0.030415535,0.34939495,-1.9252584,-25.490488,-7.306771,0.0,0.0,active
task8_random_1,20,510,agent_1,18.081955,10.436031,0.5698923253850102,0.2577511668205261,4.0819549560546875,0.026405811,-0.7219025,-2.3404713,-27.309816,-7.827914,0.0,0.0,active
task8_random_1,20,511,agent_1,18.044798,10.483824,0.5181165366747471,-0.5742872357368469,4.044797897338867,0.0605371,0.7743013,-2.2195892,-28.929863,-8.427457,0.0,0.0,active
task8_random_1,20,512,agent_1,18.052437,10.533012,14.01190721220939,0.7662894129753113,4.052436828613281,0.0497787,-0.81492805,397.67642,369.41064,-9.091564,0.0,0.0,active
task8_random_1,20,513,agent_1,17.850447,10.9766,13.533102664496933,0.19154328107833862,3.8504467010498047,0.48741078,0.5813682,1.0308553,370.77948,-9.429553,0.0,0.0,active
task8_random_1,20,514,agent_1,17.458935,11.277619,13.061590816580848,-0.30753642320632935,3.4686567783355713,0.4938569,0.48803306,1.1070968,372.12476,-9.667729,0.0,0.0,active
task8_random_1,20,515,agent_1,17.329655,11.531878,12.779100369960965,0.14046162366867065,3.366413116455078,0.28523874,-0.44494125,-0.21504301,372.1077,-9.865702,0.0,0.0,active
task8_random_1,20,516,agent_1,16.928768,12.265859,11.948277532953698,0.11869543045759201,3.1549758911132812,0.8363235,0.02951621,3.82589,375.93445,-9.866573,0.0,0.0,active
task8_random_1,20,517,agent_1,16.516432,12.78338,11.287602754628141,-0.05732947587966919,3.004183769226074,0.6617019,0.17285179,2.5969,378.56122,-9.896451,0.0,0.0,active
task8_random_1,20,518,agent_1,16.307613,13.089705,10.91692883193692,0.017681773751974106,2.9999372959136963,0.37072992,-0.07443035,-1.4865808,377.08017,-9.901991,-6.962567567825317e-06,0.0,active
task8_random_1,20,519,agent_1,16.121452,13.625185,10.373509758846879,0.29660719633102417,3.2099337577819824,0.5669167,-0.2637467,1.7813665,378.9311,-9.971553,-6.962567567825317e-06,0.0,active
task8_random_1,20,520,agent_1,16.059877,14.110393,9.94826715773943,0.5287434458732605,3.52833890914917,0.4890988,-0.20835026,1.0610008,380.0355,-10.014963,-6.962567567825317e-06,0.0,active
task8_random_1,20,521,agent_1,15.707701,14.364172,9.53329518788778,-0.30448371171951294,3.5238780975341797,0.4340875,0.8201456,0.27039605,380.97852,-10.687602,-6.962567567825317e-06,0.0,active
task8_random_1,20,522,agent_1,15.6724,14.6405115,9.291835014545194,0.5296017527580261,3.7394161224365234,0.27858543,-0.819322,-0.9068168,380.74298,-11.358891,-6.962567567825317e-06,0.0,active
task8_random_1,20,523,agent_1,14.655668,15.138405,8.291968101092099,-0.5192654728889465,3.796738624572754,1.1320966,0.9883688,4.286655,386.0065,-12.335764,-6.962567567825317e-06,0.0,active
task8_random_1,20,524,agent_1,14.058598,16.016949,7.22973838054895,-0.0008662382606416941,4.547950744628906,1.0622296,-0.51850975,5.1667557,391.4421,-12.604616,-6.962567567825317e-06,0.0,active
task8_random_1,20,525,agent_1,13.737078,16.996307,6.245213346085245,0.32428044080734253,5.500992298126221,1.0307854,-0.27970263,4.905962,396.4263,-12.68285,-6.962567567825317e-06,0.0,active
task8_random_1,20,526,agent_1,12.504606,17.989515,4.728323164142557,-0.3342383801937103,6.48951530456543,1.5828606,0.5752775,8.419228,405.17648,-13.013794,-6.962567567825317e-06,0.0,active
task8_random_1,20,527,agent_1,11.936769,18.3233,4.155622647604428,-0.5545523762702942,6.823299407958984,0.6586741,0.1468961,2.1592724,407.35733,-13.035373,-6.962567567825317e-06,0.0,active
task8_random_1,20,528,agent_1,11.400238,18.724556,3.5621903597674973,-0.5246766209602356,7.224555969238281,0.66997886,-0.11072547,2.2948592,409.66446,-13.047633,-6.962567567825317e-06,0.0,active
task8_random_1,20,529,agent_1,10.670208,19.711313,2.384798897825932,-0.3520882725715637,8.211313247680664,1.2274504,-0.29169977,6.256769,416.00632,-13.132722,-6.962567567825317e-06,0.0,active
task8_random_1,20,530,agent_1,10.144205,20.298784,1.7073166421769665,-0.64568692445755,8.798784255981445,0.788543,0.0932915,2.9557943,418.97083,-13.141425,-6.962567567825317e-06,0.0,active
task8_random_1,20,531,agent_1,9.721514,21.041,0.9986164879804788,-0.800309956073761,8.721513748168945,0.85413873,-0.2125601,3.2065964,422.2226,-13.186607,-6.962567567825317e-06,0.0,active
task8_random_1,20,532,agent_1,9.700668,21.920158,0.30979691571153595,-1.3338382244110107,8.700668334960938,0.8794043,-0.49398404,402.9589,825.42554,-13.430628,-6.962567567825317e-06,0.0,terminated
task8_random_1,40,1052,agent_1,60.619267,5.9975266,52.20083399289463,-2.4967429637908936,2.3807334899902344,1.1783217,-1.0174366,-3.598642,-2.465483,-1.0351772,-0.09798197448253632,0.0,active
task8_random_1,40,1053,agent_1,60.58364,5.8979225,52.20401844784778,-1.6019123792648315,2.4163589477539062,0.10578346,-0.8968563,-2.8554583,-4.426354,-1.8395284,-0.18821781873703003,0.0,active
task8_random_1,40,1054,agent_1,60.551514,5.880297,52.18057603747574,-0.8769315481185913,2.448486328125,0.036643744,-0.7255208,-2.5718188,-6.388254,-2.3659089,-0.271756112575531,0.0,active
task8_random_1,40,1055,agent_1,60.47952,5.9004006,52.106222734041445,-0.10300762206315994,2.5204811096191406,0.07475042,-0.7740709,-2.564381,-8.284,-2.9650946,-0.3412048816680908,0.0,active
task8_random_1,40,1056,agent_1,60.20174,6.5801053,51.60135933431835,0.8178169131278992,2.798259735107422,0.7342744,-0.91054183,-2.055411,-9.485427,-3.7941809,-0.36610278487205505,0.0,active
task8_random_1,40,1057,agent_1,61.78422,8.849802,52.33829974403956,1.8659626245498657,1.2157783508300781,2.7669075,-0.9968212,-3.471968,-11.115604,-4.787833,-1.2142407894134521,0.0,active
task8_random_1,40,1058,agent_1,64.046455,8.70037,54.53908196408297,2.904052495956421,0.0,2.267166,-1.0278964,-354.18384,-14.40952,-5.844404,-151.0475616455078,-200.0,truncated
task8_random_1,60,1756,agent_1,41.08527,19.859182,7.033606715380211,-1.3526155948638916,7.359182357788086,0.16462374,-1.02631,-2.5367594,-1.4834471,-1.0533122,0.0,0.0,active
task8_random_1,60,1757,agent_1,40.621933,18.650076,5.889424307167965,-0.5364036560058594,6.150075912475586,1.2948436,-0.91043216,5.4817123,4.8271523,-1.8821989,0.0,0.0,active
task8_random_1,60,1758,agent_1,39.907867,17.885769,4.857889454482005,-0.18329977989196777,5.385768890380859,1.0459721,-0.38548207,5.1010222,10.076771,-2.0307953,0.0,0.0,active
task8_random_1,60,1759,agent_1,39.08203,16.993626,3.670621176573177,-0.24981331825256348,4.511086940765381,1.2156998,0.0046055308,6.3677197,16.444511,-2.0308166,0.0,0.0,active
task8_random_1,60,1760,agent_1,38.636658,16.575607,3.0715634892417385,-0.215088352560997,4.156344413757324,0.61081755,-0.07024935,2.2119887,18.661434,-2.0357516,0.0,0.0,active
task8_random_1,60,1761,agent_1,38.154575,16.094412,2.4165951723751897,-0.31449246406555176,3.8097996711730957,0.6811404,0.03075344,2.6361763,21.298557,-2.0366974,0.0,0.0,active
task8_random_1,60,1762,agent_1,37.65212,15.463188,1.715820335691363,-0.625152587890625,3.4253454208374023,0.8067888,0.114017054,3.104452,24.416008,-2.0496972,0.0,0.0,active
task8_random_1,60,1763,agent_1,36.958447,15.1244545,0.9664929490974181,-0.3251314163208008,3.527618408203125,0.7719594,-0.444236,3.0932102,27.706564,-2.247043,0.0,0.0,active
task8_random_1,60,1764,agent_1,36.266106,14.814538,3.2713670356258002,-0.47760897874832153,3.7871546745300293,0.75854206,-0.03337342,402.72665,430.43433,-2.2481568,0.0,0.0,active
task8_random_1,60,1765,agent_1,35.55838,14.428364,2.6214646324303716,-0.7193282246589661,4.129613399505615,0.8062297,0.07861612,2.8557909,433.2963,-2.2543373,0.0,0.0,active
task8_random_1,60,1766,agent_1,34.429802,14.302781,1.5907381235577203,-0.5645239949226379,5.068636417388916,1.1355426,-0.38868275,5.2736435,438.721,-2.4054115,0.0,0.0,active
task8_random_1,60,1767,agent_1,34.176544,14.207012,1.418832589819354,-0.9545872807502747,3.872826170018616,0.270761,0.2507079,-0.66180485,438.12207,-2.468266,0.0,0.0,active
task8_random_1,60,1768,agent_1,34.108242,14.17238,1.3831682948261663,-1.1107019186019897,2.829676128293204,0.07658005,0.10773365,-1.965978,436.18835,-2.4798725,-0.02066784691738826,0.0,active
task8_random_1,60,1769,agent_1,33.933117,14.193064,1.2336341869659535,-0.595447838306427,1.4968891071414938,0.17634416,-0.58682245,-2.6270626,434.40842,-2.824233,-0.5234417112226776,0.0,active
task8_random_1,60,1770,agent_1,33.84069,14.141399,1.2016470883813006,-1.3056437969207764,0.4035388167217794,0.10588598,0.62726825,-211.36375,432.48276,-3.2176986,-9.568068675580442,-200.0,truncated
task8_random_1,80,3193,agent_1,17.018763,9.031784,11.376057688165686,0.8018316030502319,2.4812374114990234,0.036908627,1.037543,-3.1130123,-1.95954,-1.0764956,-0.0769767314195633,0.0,active
task8_random_1,80,3194,agent_1,16.989328,9.087492,11.314544413141547,-0.2187126874923706,2.510671615600586,0.06300664,1.0193425,-3.0236406,-3.8728242,-2.1155548,-0.14827415347099304,0.0,active
task8_random_1,80,3195,agent_1,16.890047,9.187679,11.191901143481974,-0.5196660757064819,2.609952926635742,0.14104676,0.29476294,-1.9613609,-5.6937623,-2.20244,-0.20181183516979218,0.0,active
task8_random_1,80,3196,agent_1,16.713991,9.35524,10.985293182655461,-0.5604761838912964,2.713991165161133,0.24304771,0.029265715,-1.7340081,-7.3899355,-2.2032964,-0.23879048228263855,0.0,active
task8_random_1,80,3197,agent_1,16.565554,9.476027,10.83217813277304,-0.648627758026123,2.565553665161133,0.19137168,0.07762756,-1.8375876,-9.160272,-2.2093225,-0.30001580715179443,0.0,active
task8_random_1,80,3198,agent_1,16.386364,9.609504,10.661010527328271,-0.7048203945159912,2.386363983154297,0.22343922,0.04282784,-1.8380256,-10.899729,-2.2111566,-0.39675042033195496,0.0,active
task8_random_1,80,3199,agent_1,16.225443,9.68043,10.556804086273225,-0.9432564377784729,2.225442886352539,0.17585754,0.22508277,-2.0123177,-12.72518,-2.261819,-0.5329551696777344,0.0,active
task8_random_1,80,3200,agent_1,16.020512,9.831472,10.367324671854881,-0.7394962310791016,2.0205116271972656,0.25457954,-0.22001243,-1.9578524,-14.433868,-2.3102243,-0.7337133884429932,0.0,active
task8_random_1,80,3201,agent_1,15.811438,9.969492,10.192762028596407,-0.8086540102958679,1.8114376068115234,0.25052166,0.05167725,-2.0183675,-16.159098,-2.3128948,-1.0241817235946655,0.0,active
task8_random_1,80,3202,agent_1,15.671615,10.105762,10.03445317235946,-0.6309006214141846,1.671614646911621,0.19524336,-0.18905269,-2.169476,-17.922691,-2.3486357,-1.3943229913711548,0.0,active
task8_random_1,80,3203,agent_1,15.560419,10.180357,9.942851540985474,-0.8223159313201904,1.5604190826416016,0.13389874,0.18163781,-2.3372045,-19.77753,-2.381628,-1.843696117401123,0.0,active
task8_random_1,80,3204,agent_1,15.384261,10.305839,9.79249429009823,-0.8100112080574036,1.384261131286621,0.21628094,-0.028060716,-2.3800592,-21.54066,-2.3824155,-2.4598374366760254,0.0,active
task8_random_1,80,3205,agent_1,15.220213,10.562338,9.516216999885428,-0.4404261112213135,1.2202129364013672,0.3044722,-0.38284078,-2.589276,-23.142595,-2.5289826,-3.300612688064575,0.0,active
task8_random_1,80,3206,agent_1,14.889576,10.928789,9.11472500265162,-0.6363126039505005,0.8895759582519531,0.49356556,0.16506128,-3.1571665,-24.543676,-2.556228,-5.029452323913574,0.0,active
task8_random_1,80,3207,agent_1,14.679359,11.189277,8.836875827812053,-0.6020478010177612,0.6793594360351562,0.3347311,-0.055064347,-4.674689,-26.131935,-2.55926,-8.112850189208984,0.0,active
task8_random_1,80,3208,agent_1,14.491121,11.423558,8.590492038824946,-0.619652271270752,0.4911212921142578,0.30053568,-0.0021475651,-207.68564,-27.765337,-2.5592644,-14.165085792541504,-200.0,truncated
task8_random_1,100,4799,agent_1,56.740498,27.239388,26.769204185382193,2.2778079509735107,3.7606124877929688,2.836228,0.91010034,-5.9018884,-5.0736055,-0.82828265,0.0,0.0,active
task8_random_1,100,4800,agent_1,56.92801,27.284298,26.958618134076517,2.954174280166626,3.7157020568847656,0.19281435,-0.67502433,-3.017099,-7.6350465,-1.2839406,0.0,0.0,active
task8_random_1,100,4801,agent_1,57.072517,27.219625,27.09997572689098,-2.675771474838257,3.780374526977539,0.1583209,-0.65587735,-2.8203213,-10.025192,-1.7141156,0.0,0.0,active
task8_random_1,100,4802,agent_1,57.154747,27.002523,27.173246739210224,-1.895951271057129,3.997476577758789,0.23215151,-0.787938,-2.5228982,-11.927244,-2.334962,0.0,0.0,active
task8_random_1,100,4803,agent_1,57.0434,26.540873,27.04880804152814,-1.3141237497329712,4.459127426147461,0.47488904,-0.5987321,-0.7865085,-12.355272,-2.693442,0.0,0.0,active
task8_random_1,100,4804,agent_1,56.876183,26.308565,26.877953814178436,-0.9354153275489807,4.691434860229492,0.28623223,-0.3872256,-0.723208,-12.928536,-2.8433857,0.0,0.0,active
task8_random_1,100,4805,agent_1,56.646606,26.194313,26.647314923130704,-0.4544832706451416,4.805686950683594,0.25643516,-0.48512027,-0.5692769,-13.262472,-3.0787272,0.0,0.0,active
task8_random_1,100,4806,agent_1,56.2259,26.197952,26.2266458008355,0.016199588775634766,4.8020477294921875,0.42072296,-0.4704273,0.7234897,-12.31768,-3.300029,0.0,0.0,active
task8_random_1,100,4807,agent_1,55.667557,26.513819,25.672699115298126,0.5348498821258545,4.486181259155273,0.6414962,-0.5061823,1.7965052,-10.264955,-3.5562496,0.0,0.0,active
task8_random_1,100,4808,agent_1,55.253555,27.268673,25.285402631127695,1.1193387508392334,3.7313270568847656,0.8609307,-0.55430925,1.3510851,-8.606611,-3.8635085,0.0,0.0,active
task8_random_1,100,4809,agent_1,55.435482,27.947968,25.50996517729385,1.9089090824127197,3.052032470703125,0.7032348,-0.7633298,-2.2990155,-10.322954,-4.446181,0.0,0.0,active
task8_random_1,100,4810,agent_1,56.088158,28.185251,26.179520483275567,2.8764607906341553,2.814748764038086,0.6944698,-0.9604183,-3.3368306,-12.714722,-5.368584,-0.022660095244646072,0.0,active
task8_random_1,100,4811,agent_1,56.197304,28.11577,26.2826027830672,-2.4941208362579346,2.8842296600341797,0.12938404,-0.91558444,-2.9032717,-14.76605,-6.206879,-0.03630831465125084,0.0,active
task8_random_1,100,4812,agent_1,56.221962,27.791498,26.283088775246224,-1.5784724950790405,3.2085018157958984,0.3252089,-0.92802185,-2.2132368,-16.118063,-7.068104,-0.03630831465125084,0.0,active
task8_random_1,100,4813,agent_1,56.044865,27.481524,26.086967757776762,-0.9949010610580444,3.5184764862060547,0.35699892,-0.59496397,-0.6593791,-16.42346,-7.422086,-0.03630831465125084,0.0,active
task8_random_1,100,4814,agent_1,55.90784,27.347588,25.942864212095785,-0.7220314145088196,3.6524124145507812,0.1916101,-0.27772453,-0.97339296,-17.319721,-7.4992166,-0.03630831465125084,0.0,active
task8_random_1,100,4815,agent_1,55.705685,27.218554,25.734550640581094,-0.5207303166389465,3.7814464569091797,0.23982501,-0.20589982,-0.52117693,-17.798504,-7.541611,-0.03630831465125084,0.0,active
task8_random_1,100,4816,agent_1,55.447243,27.04329,25.468620206620866,-0.5549395680427551,3.9567108154296875,0.31226587,0.027815841,-0.046589784,-17.84432,-7.542385,-0.03630831465125084,0.0,active
task8_random_1,100,4817,agent_1,54.961975,26.698618,24.97174939397252,-0.5896061062812805,4.301382064819336,0.59521556,0.021670999,1.6743155,-16.169535,-7.542855,-0.03630831465125084,0.0,active
task8_random_1,100,4818,agent_1,54.50688,26.406574,24.510254057386785,-0.5539458394050598,4.593425750732422,0.5407404,-0.04705099,1.3867437,-14.780577,-7.5450687,-0.03630831465125084,0.0,active
task8_random_1,100,4819,agent_1,53.95772,26.060804,23.957798870403057,-0.5593851208686829,4.93919563293457,0.64894843,-0.008611899,2.060099,-12.720404,-7.545143,-0.03630831465125084,0.0,active
task8_random_1,100,4820,agent_1,53.307068,25.68185,23.309239195961123,-0.5410429239273071,5.318149566650391,0.752965,-0.0345293,2.747536,-9.971676,-7.546335,-0.03630831465125084,0.0,active
task8_random_1,100,4821,agent_1,52.59877,25.38898,22.607028913497096,-0.419106125831604,5.611019134521484,0.76645947,-0.13531736,3.0256593,-6.927706,-7.5646462,-0.03630831465125084,0.0,active
task8_random_1,100,4822,agent_1,51.722153,24.966541,21.746722862526962,-0.4966017007827759,6.033458709716797,0.9730959,0.056985546,4.244475,-2.6799836,-7.5678935,-0.03630831465125084,0.0,active
task8_random_1,100,4823,agent_1,50.77686,24.454939,20.834228939950826,-0.5702978372573853,6.545061111450195,1.0748558,0.047008086,4.7099714,2.0321975,-7.570103,-0.03630831465125084,0.0,active
task8_random_1,100,4824,agent_1,50.100056,23.950794,20.204244189133295,-0.7418209314346313,7.049205780029297,0.84393454,0.14415166,2.8170133,4.8699903,-7.590883,-0.03630831465125084,0.0,active
