experiment,episode,return_total,reward_progress,reward_collision,reward_safety,reward_rotation
exp5_empty_2,1,588.7522,589.7468,0.0,0.0,-0.9945969
exp5_empty_2,2,683.3665,683.96826,0.0,0.0,-0.6016858
exp5_empty_2,3,626.97424,627.5776,0.0,-0.059185829556952174,-0.54408556
exp5_empty_2,4,674.01886,677.7853,0.0,-3.4793908124583734,-0.28708532
exp5_empty_2,5,652.14166,658.5439,0.0,-6.2856199674841635,-0.116579905
exp5_empty_2,6,654.37115,654.45,0.0,0.0,-0.07885211
exp5_empty_2,7,673.6947,676.1587,0.0,-2.376088777818744,-0.087875456
exp5_empty_2,8,622.1019,622.2181,0.0,0.0,-0.11609526
exp5_empty_2,9,678.62256,678.6914,0.0,0.0,-0.06886241
exp5_empty_2,10,619.6813,619.75757,0.0,0.0,-0.07635522
exp5_empty_2,11,638.1395,638.35565,0.0,0.0,-0.21612069
exp5_empty_2,12,629.2024,630.8886,0.0,-0.5370518194294984,-1.1491885
exp5_empty_2,13,-356.74786,102.66487,-150.0,-309.39121603010545,-0.021486444
exp5_empty_2,14,-380.2386,73.571815,-150.0,-303.7935839325711,-0.016850805
exp5_empty_2,15,-386.7456,62.85845,-150.0,-299.5764440822205,-0.027642023
exp5_empty_2,16,-91.144424,177.45012,-150.0,-118.55235399698404,-0.042186033
exp5_empty_2,17,691.4523,692.16223,0.0,0.0,-0.70990634
exp5_empty_2,18,-314.75598,139.24632,-150.0,-303.97586572264913,-0.02644367
exp5_empty_2,19,640.1334,640.25165,0.0,0.0,-0.118205346
exp5_empty_2,21,536.4332,543.495,0.0,-6.2192470258997625,-0.8424623
exp5_empty_2,22,-136.2269,104.39267,-150.0,-90.59688473104919,-0.022685641
exp5_empty_2,23,561.01373,561.36816,0.0,-0.2268268611286322,-0.12755363
exp5_empty_2,24,617.6521,617.903,0.0,0.0,-0.2508722
exp5_empty_2,25,-144.18806,31.984201,-150.0,-26.16671186969372,-0.005543426
exp5_empty_2,26,-137.08655,39.093143,-150.0,-26.163811690502396,-0.015884498
exp5_empty_2,27,-344.8319,104.94556,-150.0,-299.7500359527093,-0.02743747
exp5_empty_2,28,558.9731,559.01764,0.0,0.0,-0.04454485
exp5_empty_2,29,610.4339,610.5095,0.0,0.0,-0.07567327
exp5_empty_2,30,35.411484,206.03438,-150.0,-20.58061023806605,-0.04224158
exp5_empty_2,31,-52.943954,230.34964,-150.0,-133.2677063610681,-0.0258628
exp5_empty_2,32,578.95886,579.86273,0.0,0.0,-0.90396404
exp5_empty_2,33,717.182,717.2456,0.0,0.0,-0.06371641
exp5_empty_2,34,-408.61465,42.777622,-150.0,-301.3824678222086,-0.009806949
exp5_empty_2,35,-100.21347,61.53273,-150.0,-11.730200104110672,-0.016010368
exp5_empty_2,36,-391.83133,57.452164,-150.0,-299.27951448707927,-0.0039995685
exp5_empty_2,37,680.1892,680.7622,0.0,0.0,-0.5729673
exp5_empty_2,38,671.38477,671.6252,0.0,0.0,-0.24041086
exp5_empty_2,39,566.73724,567.96814,0.0,-0.758217697084796,-0.47268355
exp5_empty_2,41,524.3361,543.329,0.0,-18.85036880568314,-0.14250283
exp5_empty_2,42,-106.828064,111.642136,-150.0,-68.40743017542157,-0.06277156
exp5_empty_2,43,608.65936,609.20874,0.0,-0.4548685116700822,-0.0944657
exp5_empty_2,44,608.9659,612.4123,0.0,-3.0978367924310612,-0.34860867
