experiment,worker,episode,return,average_return,best_return,mean_time_travel,average_mean_time_travel,best_mean_time_travel,success_rate,average_success_rate,best_success_rate
random_easy,0,65,-1876.361404119376,-1130.9199727850653,-337.99357045227293,100.0,72.44615384615385,7.0,0.0,0.015384615384615385,0.125
random_easy,0,66,7875.966849914045,-994.4519906229576,-337.99357045227293,100.0,72.86363636363636,7.0,0.0,0.015151515151515152,0.125
random_easy,0,67,-1363.192242764276,-999.955576475813,-337.99357045227293,100.0,73.26865671641791,7.0,0.0,0.014925373134328358,0.125
random_easy,0,68,-6794.401016944196,-1085.1680094238775,-337.99357045227293,100.0,73.66176470588235,7.0,0.0,0.014705882352941176,0.125
random_easy,0,69,-203.11325878323566,-1072.3846072406798,-337.99357045227293,100.0,74.04347826086956,7.0,0.0,0.014492753623188406,0.125
random_easy,0,70,-676.0776425702064,-1066.7230791739587,-337.99357045227293,100.0,74.41428571428571,7.0,0.0,0.014285714285714285,0.125
random_easy,0,71,602.6549073318483,-1043.2107131668347,-337.99357045227293,100.0,74.77464788732394,7.0,0.0,0.014084507042253521,0.125
random_easy,0,72,1839.0388503107558,-1003.1794692296457,-337.99357045227293,100.0,75.125,7.0,0.0,0.013888888888888888,0.125
random_easy,0,73,861.0410865453122,-977.6422013423175,-337.99357045227293,100.0,75.46575342465754,7.0,0.0,0.0136986301369863,0.125
random_easy,0,74,284.6247722945543,-960.5845395364139,-337.99357045227293,100.0,75.79729729729729,7.0,0.0,0.013513513513513514,0.125
random_easy,0,75,982.3136033608089,-934.679230964451,-337.99357045227293,100.0,76.12,7.0,0.0,0.013333333333333334,0.125
random_easy,0,76,-41.31087947429106,-922.9243842343172,-337.99357045227293,100.0,76.4342105263158,7.0,0.0,0.013157894736842105,0.125
random_easy,0,77,308.9281614824016,-906.9262992250092,-337.99357045227293,100.0,76.74025974025975,7.0,0.0,0.012987012987012988,0.125
random_easy,0,78,-860.6153954277517,-906.332569689147,-337.99357045227293,100.0,77.03846153846153,7.0,0.0,0.01282051282051282,0.125
random_easy,0,79,926.6925900495416,-883.1297195658725,-337.99357045227293,100.0,77.32911392405063,7.0,0.0,0.012658227848101266,0.125
random_easy,0,80,50.014107792974904,-871.465421723887,-337.99357045227293,100.0,77.6125,7.0,0.0,0.0125,0.125
random_easy,0,81,-381.815325462653,-865.4203588070816,-337.99357045227293,100.0,77.88888888888889,7.0,0.0,0.012345679012345678,0.125
random_easy,0,82,-618.229802216512,-862.4058398242696,-337.99357045227293,100.0,78.15853658536585,7.0,0.0,0.012195121951219513,0.125
random_easy,0,83,14.318133696130708,-851.8429003842648,-337.99357045227293,100.0,78.42168674698796,7.0,0.0,0.012048192771084338,0.125
