experiment,episode,return_total,reward_progress,reward_collision,reward_safety,reward_rotation
exp6_fixed_random_2,1,-188.22426,11.765275,-150.0,-49.87499999999999,-0.11452569
exp6_fixed_random_2,2,752.4026,754.0653,0.0,0.0,-1.6626806
exp6_fixed_random_2,3,678.57043,680.2329,0.0,-0.07747204601764679,-1.5850606
exp6_fixed_random_2,4,26.465622,227.64095,-150.0,-50.43302536010742,-0.7423017
exp6_fixed_random_2,5,611.09686,613.5556,0.0,0.0,-2.4587402
exp6_fixed_random_2,6,625.4849,627.25824,0.0,-0.2096838653087616,-1.5636538
exp6_fixed_random_2,7,-104.305756,55.498272,-150.0,-9.614765167236328,-0.18926346
exp6_fixed_random_2,8,632.51025,634.26,0.0,-0.07519343495368958,-1.6745259
exp6_fixed_random_2,9,731.4012,732.7566,0.0,0.0,-1.3554817
exp6_fixed_random_2,10,689.8076,690.3413,0.0,-0.04815104603767395,-0.48548934
exp6_fixed_random_2,11,669.99567,671.559,0.0,-0.35833173990249634,-1.2050235
exp6_fixed_random_2,12,43.364105,201.37129,-150.0,-5.45261812210083,-2.5545866
exp6_fixed_random_2,13,-87.49479,74.71446,-150.0,-11.890762329101562,-0.3184601
exp6_fixed_random_2,14,73.65602,230.75392,-150.0,-4.8430609703063965,-2.2548301
exp6_fixed_random_2,15,-61.209015,139.27802,-150.0,-49.87499999999999,-0.61204
exp6_fixed_random_2,16,-51.12108,151.42871,-150.0,-51.40330123901367,-1.1465014
exp6_fixed_random_2,17,-96.21284,104.98015,-150.0,-50.61417770385742,-0.57880855
exp6_fixed_random_2,18,-101.98758,98.46895,-150.0,-49.87499999999999,-0.5815189
exp6_fixed_random_2,19,17.683578,184.63954,-150.0,-10.726078033447266,-6.229941
exp6_fixed_random_2,21,-57.669495,95.66419,-150.0,-2.624049186706543,-0.70965
exp6_fixed_random_2,22,661.5266,664.31604,0.0,-0.6502994894981384,-2.1391306
exp6_fixed_random_2,23,661.47455,662.4832,0.0,0.0,-1.0086663
exp6_fixed_random_2,24,569.91864,571.2338,0.0,-0.21375735104084015,-1.1013958
exp6_fixed_random_2,25,730.52014,732.4956,0.0,-0.06747721135616302,-1.9079709
