experiment,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state
exp3_fixed_2,20,605,agent_1,13.657453,19.999563,37.014673426482325,-0.30163127183914185,5.627005100250244,4.6574526,-9.364457e-05,29.666224,29.666224,-8.769306e-09,0.0,0.0,active
exp3_fixed_2,20,606,agent_1,17.681705,18.854748,32.832173635290005,-0.02769818902015686,1.775519609451294,4.183923,-0.27706352,3.4701543,33.522293,-0.0767642,-0.309150755405426,0.0,active
exp3_fixed_2,20,607,agent_1,20.791729,20.420168,30.43233132212641,-0.8510031700134277,2.079832077026367,3.481779,0.7434784,1.0596955,35.314846,-0.6295244,-0.48924869298934937,0.0,active
exp3_fixed_2,20,608,agent_1,24.100372,20.489113,27.42245745827478,-0.45314231514930725,2.2414181232452393,3.3093622,-0.44548663,2.0032573,37.648464,-0.8279828,-0.6211515665054321,0.0,active
exp3_fixed_2,20,609,agent_1,28.865173,20.363413,23.12008642705379,-0.48743119835853577,5.930540084838867,4.766458,-0.04720929,29.042545,66.69324,-0.8302115,-0.6211515665054321,0.0,active
exp3_fixed_2,20,610,agent_1,33.754086,19.708786,18.63104950135608,-0.4792286157608032,6.308007717132568,4.932546,-0.10673406,30.298883,97.00351,-0.8416037,-0.6211515665054321,0.0,active
exp3_fixed_2,20,611,agent_1,37.162052,18.475107,15.162937232294995,-0.3276617228984833,2.6984198093414307,3.6243906,-0.21421508,2.8326447,99.92138,-0.8874918,-0.6604872941970825,0.0,active
exp3_fixed_2,20,612,agent_1,39.12914,19.589474,14.476562150450961,-1.3359328508377075,2.2319908142089844,2.2608066,0.86275065,-1.2880714,99.51208,-1.6318305,-0.794917643070221,0.0,active
exp3_fixed_2,20,613,agent_1,41.273438,19.081879,12.702127594379714,-0.6844534277915955,1.581878662109375,2.2035599,-0.74786687,-0.33621854,100.16794,-2.1911354,-1.2276898622512817,0.0,active
exp3_fixed_2,20,614,agent_1,43.819912,19.617035,11.813329016851537,-1.3240137100219727,2.117034912109375,2.6020997,0.4395811,-0.43161058,100.09758,-2.384367,-1.395707368850708,0.0,active
exp3_fixed_2,20,615,agent_1,46.717266,18.068832,9.351716162830126,-0.8334582448005676,2.4199209213256836,3.2850547,-0.6978899,1.1991043,101.873215,-2.8714173,-1.4851875305175781,0.0,active
exp3_fixed_2,20,616,agent_1,49.863907,15.921531,6.975236384575833,-1.0961451530456543,5.3639068603515625,3.8094952,-0.10807452,17.489708,119.3746,-2.8830974,-1.4851875305175781,0.0,active
exp3_fixed_2,20,617,agent_1,50.800293,12.9550705,4.345530738418447,-0.7329171895980835,6.601107120513916,3.1107404,-0.66621405,16.926167,136.74461,-3.3269386,-1.4851875305175781,0.0,active
exp3_fixed_2,20,618,agent_1,50.244457,11.613783,2.894915334195891,-0.05149424076080322,6.2694244384765625,1.4518971,-0.69862103,7.6688004,144.90149,-3.81501,-1.4851875305175781,0.0,active
exp3_fixed_2,20,619,agent_1,49.8507,10.804254,1.9947486328451478,0.012122392654418945,5.622582912445068,0.9002116,-0.05984679,4.297675,149.20274,-3.8185916,-1.4851875305175781,0.0,active
exp3_fixed_2,20,620,agent_1,49.53151,9.590433,0.7944265300942298,-0.4757862091064453,5.062931537628174,1.2550869,0.1955681,6.4735365,155.71452,-3.8568385,-1.4851875305175781,0.0,active
exp3_fixed_2,20,621,agent_1,48.68037,8.503931,0.5901250147323948,-3.0494472980499268,4.180370330810547,1.3801891,-0.40737984,1.6159273,157.49641,-4.0227966,-1.4851875305175781,0.0,active
exp3_fixed_2,20,622,agent_1,48.589317,8.510774,0.6387508709681784,-2.1941306591033936,4.089317321777344,0.09130931,-0.9812806,-3.0234222,155.4359,-4.985708,-1.4851875305175781,0.0,active
exp3_fixed_2,20,623,agent_1,48.512684,8.657098,0.5958682065533427,-1.4400675296783447,4.012683868408203,0.16517735,-1.0133456,-2.4821014,153.98067,-6.0125775,-1.4851875305175781,0.0,active
