experiment,episode,return_total,reward_progress,reward_collision,reward_safety,reward_rotation
exp3_fixed_2,1,410.35004,419.84933,0.0,-6.460002899169922,-3.039278
exp3_fixed_2,2,551.7187,560.3524,0.0,-3.567704916000366,-5.06597
exp3_fixed_2,3,-195.95198,53.565033,-200.0,-49.09352493286133,-0.42350134
exp3_fixed_2,4,-347.35434,2.502833,-200.0,-149.83333333333331,-0.023834214
exp3_fixed_2,5,416.595,433.40588,0.0,-12.14573860168457,-4.66516
exp3_fixed_2,6,-99.202736,111.967926,-200.0,-10.159809112548828,-1.0108593
exp3_fixed_2,7,-290.99527,60.18401,-200.0,-150.69732666015625,-0.48195896
exp3_fixed_2,8,-146.82759,72.50448,-200.0,-18.82430648803711,-0.5077611
exp3_fixed_2,9,-318.57968,31.4056,-200.0,-149.8944549560547,-0.090839356
exp3_fixed_2,10,-89.3678,124.3852,-200.0,-12.545455932617188,-1.2075539
exp3_fixed_2,11,-159.8985,61.71907,-200.0,-21.349214553833008,-0.26835597
exp3_fixed_2,12,-280.65326,71.85626,-200.0,-152.2119598388672,-0.297566
exp3_fixed_2,13,-329.12878,22.979485,-200.0,-151.78692626953125,-0.3213174
exp3_fixed_2,14,-280.11792,72.65858,-200.0,-152.3800048828125,-0.3965056
exp3_fixed_2,15,-318.58154,32.590042,-200.0,-151.0814666748047,-0.09012397
exp3_fixed_2,16,-283.98383,69.94946,-200.0,-153.68020629882812,-0.25308114
exp3_fixed_2,17,-297.5038,57.419453,-200.0,-154.04254150390625,-0.88073796
exp3_fixed_2,18,540.90265,549.46924,0.0,-3.1873905658721924,-5.379222
exp3_fixed_2,19,496.41537,514.37854,0.0,-9.514466285705566,-8.448683
exp3_fixed_2,21,-182.18826,34.047993,-200.0,-15.280060768127441,-0.9561876
exp3_fixed_2,22,436.47485,453.9833,0.0,-13.314050674438477,-4.194398
exp3_fixed_2,23,-317.38345,36.475807,-200.0,-152.9449920654297,-0.91426015
exp3_fixed_2,24,-196.1633,33.539337,-200.0,-26.60784912109375,-3.0948064
exp3_fixed_2,25,-178.77707,34.750587,-200.0,-13.080820083618164,-0.44684568
exp3_fixed_2,26,-255.0951,-23.762852,-200.0,-28.413585662841797,-2.9186625
