experiment,episode,return_total,mean_v,mean_abs_omega,success_rate,collision_rate,mean_time_travel
exp4_fixed_3,1,84.42029,1.2099869,0.42089218,0.0,1.0,97.0
exp4_fixed_3,2,664.79846,2.000928,0.42023247,1.0,0.0,32.0
exp4_fixed_3,3,663.4761,1.6392395,0.40203843,1.0,0.0,38.0
exp4_fixed_3,4,-66.63753,2.615325,0.6142898,0.0,1.0,11.0
exp4_fixed_3,5,727.4923,1.8701261,0.40329713,1.0,0.0,40.0
exp4_fixed_3,6,700.0399,1.7865367,0.48475948,1.0,0.0,36.0
exp4_fixed_3,7,58.02478,1.3844117,0.3763213,0.0,1.0,49.0
exp4_fixed_3,8,693.944,1.8542415,0.43729976,1.0,0.0,32.0
exp4_fixed_3,9,634.8561,1.8342829,0.29737237,1.0,0.0,28.0
exp4_fixed_3,10,724.385,1.2022369,0.38899747,1.0,0.0,63.0
exp4_fixed_3,11,702.36694,1.4248719,0.32434237,1.0,0.0,50.0
exp4_fixed_3,12,227.83745,0.8303324,0.513748,0.0,0.0,100.0
exp4_fixed_3,13,688.8436,2.7787473,0.57485855,1.0,0.0,21.0
exp4_fixed_3,14,672.48785,1.746443,0.35492614,1.0,0.0,36.0
exp4_fixed_3,15,601.7442,1.4120135,0.39722604,1.0,0.0,35.0
exp4_fixed_3,16,612.0453,1.9481418,0.47048968,1.0,0.0,23.0
exp4_fixed_3,17,506.66412,0.7789417,0.49853182,1.0,0.0,45.0
exp4_fixed_3,18,281.7714,0.9031122,0.59864324,0.0,0.0,100.0
exp4_fixed_3,19,749.8452,1.6354114,0.4457576,1.0,0.0,47.0
exp4_fixed_3,21,602.2025,2.8702753,0.44715354,1.0,0.0,14.0
exp4_fixed_3,22,-49.419746,2.1817179,0.54580176,0.0,1.0,18.0
exp4_fixed_3,23,532.8925,1.8598073,0.6131149,1.0,0.0,13.0
exp4_fixed_3,24,579.6414,0.9767518,0.4434621,1.0,0.0,45.0
exp4_fixed_3,25,728.7555,2.484216,0.3464354,1.0,0.0,26.0
exp4_fixed_3,26,677.8054,1.5933994,0.3290861,1.0,0.0,43.0
exp4_fixed_3,27,711.79956,2.0215569,0.4010582,1.0,0.0,35.0
exp4_fixed_3,28,723.0058,2.5609424,0.52650654,1.0,0.0,26.0
exp4_fixed_3,29,76.16281,1.5041064,0.48418063,0.0,1.0,46.0
exp4_fixed_3,30,762.8454,2.758279,0.45171237,1.0,0.0,24.0
exp4_fixed_3,31,250.43333,0.7979235,0.88017553,0.0,0.0,100.0
exp4_fixed_3,32,764.0773,1.6380856,0.42583746,1.0,0.0,47.0
exp4_fixed_3,33,680.9326,2.5154812,0.635652,1.0,0.0,24.0
exp4_fixed_3,34,721.40295,2.4718797,0.7046432,1.0,0.0,26.0
exp4_fixed_3,35,604.00543,1.1367487,0.36457717,1.0,0.0,53.0
exp4_fixed_3,36,712.3766,1.2083912,0.30844843,1.0,0.0,64.0
exp4_fixed_3,37,187.50562,1.1025692,0.40343925,0.0,0.0,100.0
exp4_fixed_3,38,702.0104,1.666154,0.36180574,1.0,0.0,41.0
exp4_fixed_3,39,217.90129,0.81813097,0.35166132,0.0,0.0,100.0
exp4_fixed_3,41,715.26245,1.6828679,0.6723372,1.0,0.0,44.0
exp4_fixed_3,42,725.2019,1.6832445,0.48768392,1.0,0.0,46.0
exp4_fixed_3,43,720.1022,1.5412344,0.40222648,1.0,0.0,51.0
exp4_fixed_3,44,743.9386,1.530034,0.4084468,1.0,0.0,56.0
exp4_fixed_3,45,639.12164,2.4807827,0.618906,1.0,0.0,20.0
exp4_fixed_3,46,704.0338,1.8836415,0.4619525,1.0,0.0,37.0
exp4_fixed_3,47,18.211288,1.0919117,0.43116227,0.0,1.0,72.0
exp4_fixed_3,48,692.5932,2.2288315,0.66704786,1.0,0.0,29.0
exp4_fixed_3,49,723.89404,1.7179503,0.49586114,1.0,0.0,47.0
exp4_fixed_3,50,668.76404,1.2830629,0.44506028,1.0,0.0,57.0
exp4_fixed_3,51,720.74756,1.9568325,0.5684803,1.0,0.0,38.0
exp4_fixed_3,52,31.44487,2.901368,0.4338164,0.0,1.0,15.0
exp4_fixed_3,53,578.8422,2.8919034,0.5836576,1.0,0.0,13.0
exp4_fixed_3,54,649.7607,1.7464137,0.572029,1.0,0.0,35.0
exp4_fixed_3,55,578.65247,1.5377619,0.6946011,1.0,0.0,34.0
exp4_fixed_3,56,600.6666,0.9978609,0.39749128,1.0,0.0,69.0
exp4_fixed_3,57,739.46875,2.0307114,0.44208586,1.0,0.0,36.0
exp4_fixed_3,58,-146.65385,3.3845387,0.6552081,0.0,1.0,1.0
exp4_fixed_3,59,548.3549,1.9426417,0.64729303,1.0,0.0,22.0
exp4_fixed_3,61,682.047,2.2007625,0.6700325,1.0,0.0,27.0
exp4_fixed_3,62,726.2993,1.604398,0.45863676,1.0,0.0,52.0
exp4_fixed_3,63,644.1129,1.5163177,0.6126326,1.0,0.0,38.0
exp4_fixed_3,64,743.7649,2.635461,0.52104175,1.0,0.0,26.0
exp4_fixed_3,65,632.8039,0.9923017,0.47956702,1.0,0.0,70.0
exp4_fixed_3,66,628.70013,1.2943228,0.5081335,1.0,0.0,51.0
exp4_fixed_3,67,15.150543,1.1308004,0.46433347,0.0,1.0,63.0
exp4_fixed_3,68,711.53723,1.0157112,0.44482842,1.0,0.0,76.0
exp4_fixed_3,69,781.97656,1.8470187,0.41726416,1.0,0.0,44.0
exp4_fixed_3,70,685.15497,2.489015,0.74298996,1.0,0.0,24.0
exp4_fixed_3,71,589.7165,0.9619286,0.48642448,1.0,0.0,61.0
exp4_fixed_3,72,715.7713,1.8028537,0.5021376,1.0,0.0,41.0
exp4_fixed_3,73,625.2167,2.0351274,0.4885448,1.0,0.0,24.0
exp4_fixed_3,74,-7.464325,0.96092695,0.44487435,0.0,1.0,66.0
exp4_fixed_3,75,684.4834,2.7161264,0.52388334,1.0,0.0,22.0
exp4_fixed_3,76,594.5968,0.97282106,0.45386514,1.0,0.0,91.0
exp4_fixed_3,77,-58.72899,2.5432994,0.5364827,0.0,1.0,7.0
exp4_fixed_3,78,697.72675,2.2447278,0.34865126,1.0,0.0,27.0
exp4_fixed_3,79,150.58318,0.6882542,0.5359037,0.0,0.0,100.0
exp4_fixed_3,81,10.662155,1.2136294,0.4740356,0.0,1.0,56.0
exp4_fixed_3,82,48.027527,1.5758679,0.42926314,0.0,1.0,43.0
exp4_fixed_3,83,551.8842,1.7012713,0.5378118,1.0,0.0,21.0
exp4_fixed_3,84,693.40894,1.8157403,0.46395323,1.0,0.0,36.0
exp4_fixed_3,85,690.7521,2.6586788,0.7294646,1.0,0.0,24.0
exp4_fixed_3,86,711.95764,2.4237509,0.4785964,1.0,0.0,26.0
exp4_fixed_3,87,711.32043,2.6059003,0.47988892,1.0,0.0,25.0
exp4_fixed_3,88,611.49457,1.1106641,0.6397482,1.0,0.0,57.0
exp4_fixed_3,89,701.5206,1.8649633,0.47763544,1.0,0.0,40.0
exp4_fixed_3,90,638.25995,2.17976,0.44861603,1.0,0.0,24.0
exp4_fixed_3,91,-30.557854,3.0082722,0.43361625,0.0,1.0,9.0
exp4_fixed_3,92,634.6683,1.0602037,0.42714098,1.0,0.0,67.0
exp4_fixed_3,93,733.4817,2.5204515,0.39677364,1.0,0.0,25.0
exp4_fixed_3,94,754.53296,1.7948033,0.50297904,1.0,0.0,40.0
exp4_fixed_3,95,734.52136,2.2279718,0.4212142,1.0,0.0,32.0
exp4_fixed_3,96,747.7528,2.0587234,0.4044523,1.0,0.0,37.0
exp4_fixed_3,97,576.60016,1.1042122,0.5035039,1.0,0.0,52.0
exp4_fixed_3,98,748.4222,1.9471378,0.47204795,1.0,0.0,39.0
exp4_fixed_3,99,647.8041,2.0053399,0.40765867,1.0,0.0,25.0
exp4_fixed_3,101,687.62177,1.8826175,0.40592742,1.0,0.0,32.0
exp4_fixed_3,102,743.8387,1.5658536,0.5155267,1.0,0.0,52.0
exp4_fixed_3,103,574.06213,0.9163879,0.44660184,1.0,0.0,64.0
exp4_fixed_3,104,732.11884,2.6845112,0.47076312,1.0,0.0,25.0
exp4_fixed_3,105,677.68555,2.1032093,0.4806784,1.0,0.0,27.0
exp4_fixed_3,106,641.88306,1.745019,0.64629996,1.0,0.0,32.0
exp4_fixed_3,107,-73.24036,1.8398575,0.39351937,0.0,1.0,12.0
exp4_fixed_3,108,699.6876,1.9044733,0.40239805,1.0,0.0,34.0
exp4_fixed_3,109,542.7301,1.6795812,0.48970476,1.0,0.0,17.0
exp4_fixed_3,110,717.7786,1.8237902,0.43443406,1.0,0.0,39.0
exp4_fixed_3,111,618.9656,1.9220179,0.51707876,1.0,0.0,25.0
exp4_fixed_3,112,741.95935,2.0621026,0.39650825,1.0,0.0,35.0
exp4_fixed_3,113,697.9662,2.3554635,0.43666965,1.0,0.0,25.0
exp4_fixed_3,114,663.0622,2.205039,0.55661684,1.0,0.0,28.0
exp4_fixed_3,115,686.39856,1.8166617,0.5087522,1.0,0.0,34.0
exp4_fixed_3,116,589.6166,2.8627825,0.42275685,1.0,0.0,11.0
exp4_fixed_3,117,645.90076,2.1226282,0.54212373,1.0,0.0,24.0
exp4_fixed_3,118,705.38586,1.7363225,0.3928299,1.0,0.0,41.0
exp4_fixed_3,119,662.18823,1.8617531,0.4381812,1.0,0.0,29.0
exp4_fixed_3,121,740.9029,2.2967107,0.4802206,1.0,0.0,28.0
exp4_fixed_3,122,716.16406,1.1382326,0.33505127,1.0,0.0,67.0
exp4_fixed_3,123,539.19995,2.3604848,0.467647,1.0,0.0,11.0
exp4_fixed_3,124,720.0852,1.2627027,0.45504764,1.0,0.0,67.0
exp4_fixed_3,125,636.6803,2.7294953,0.39219344,1.0,0.0,17.0
exp4_fixed_3,126,723.1283,2.0563424,0.48815963,1.0,0.0,31.0
exp4_fixed_3,127,609.56915,1.5942475,0.42639536,1.0,0.0,31.0
exp4_fixed_3,128,694.9625,2.203747,0.43296942,1.0,0.0,26.0
exp4_fixed_3,129,710.7208,2.1611154,0.46451178,1.0,0.0,28.0
exp4_fixed_3,130,620.82086,0.99370617,0.38211575,1.0,0.0,71.0
exp4_fixed_3,131,660.78784,2.5617898,0.26829562,1.0,0.0,19.0
