experiment,episode,return,average_return,best_return,mean_time_travel,average_mean_time_travel,best_mean_time_travel,success_rate,average_success_rate,best_success_rate
random_easy,1,-1456.7062277700672,-1456.7062277700672,-1456.7062277700672,100.0,100.0,100.0,0.0,0.0,0.0
random_easy,2,-613.3910362633658,-1035.0486320167165,-1035.0486320167165,100.0,100.0,100.0,0.0,0.0,0.0
random_easy,3,-1370.2426274567183,-1146.7799638300505,-1035.0486320167165,100.0,100.0,100.0,0.0,0.0,0.0
random_easy,4,-322.3881436777998,-940.6820087919878,-940.6820087919878,50.0,87.5,87.5,0.0,0.0,0.0
random_easy,5,-193.3211692295049,-791.2098408794911,-791.2098408794911,4.0,70.8,70.8,0.0,0.0,0.0
random_easy,6,-316.7483227891655,-712.1329211977703,-712.1329211977703,9.0,60.5,60.5,0.0,0.0,0.0
random_easy,7,-259.1077016326951,-647.4150326884738,-647.4150326884738,8.0,53.0,53.0,0.0,0.0,0.0
random_easy,8,-246.1006458095651,-597.2507343286102,-597.2507343286102,13.0,48.0,48.0,0.0,0.0,0.0
random_easy,9,-207.4463513007642,-553.939136214405,-553.939136214405,7.0,43.44444444444444,43.44444444444444,0.0,0.0,0.0
random_easy,10,-340.8938987143657,-532.6346124644011,-532.6346124644011,17.0,40.8,40.8,0.0,0.0,0.0
random_easy,11,-1312.608511598922,-603.5413305675394,-532.6346124644011,100.0,46.18181818181818,40.8,0.0,0.0,0.0
random_easy,12,-131.9322306630864,-564.2405722421682,-532.6346124644011,31.0,44.916666666666664,40.8,0.0,0.0,0.0
random_easy,13,-270.6843594893735,-541.659325107338,-532.6346124644011,8.0,42.07692307692308,40.8,0.0,0.0,0.0
random_easy,14,-88.4321378392838,-509.2859545881912,-509.2859545881912,5.0,39.42857142857143,39.42857142857143,0.0,0.0,0.0
random_easy,15,-209.62289432230395,-489.30841723713206,-489.30841723713206,4.0,37.06666666666667,37.06666666666667,0.0,0.0,0.0
