environment,worker,episode,step,agent,state,reward,goal_distance,travel_time,action_x,action_y,closest_obstacle_distance
random_easy,0,1000,1,agent_1,active,-2.712318034167731,2.522463606833546,1,0.41602993,-0.5195374,5.5035214
random_easy,0,1000,2,agent_1,active,-7.962025323438968,3.5724050646877936,2,1.7241505,-0.26853326,4.7945275
random_easy,0,1000,3,agent_1,active,-12.202441464809805,4.420488292961961,3,0.005264759,-0.3886881,3.871161
random_easy,0,1000,4,agent_1,active,-16.365447390477126,5.253089478095425,4,0.0061252117,0.100078836,2.990773
random_easy,0,1000,5,agent_1,active,-21.0857856260733,6.19715712521466,5,0.0006494522,-0.30720124,2.0081909
random_easy,0,1000,6,agent_1,active,-25.08530772293348,6.997061544586695,6,0.11777973,0.44389755,1.2006423
random_easy,0,1000,7,agent_1,active,-27.747148118671532,7.529429623734306,7,0.051968336,0.37344626,0.66392875
random_easy,0,1000,8,agent_1,active,-29.132406749950324,7.806481349990064,8,0.025435925,0.28419223,0.38532007
random_easy,0,1000,9,agent_1,active,-28.14672815439304,7.609345630878607,9,0.13743496,0.519057,0.6198275
random_easy,0,1000,10,agent_1,active,-26.06447161586651,7.192894323173301,10,0.0026183128,0.20866752,1.0506277
random_easy,0,1000,11,agent_1,active,-22.825888919568584,6.545177783913717,11,0.004204273,0.29384628,1.7243435
random_easy,0,1000,12,agent_1,active,-18.76306102855003,5.732612205710006,12,0.00268507,0.28302085,2.5776253
random_easy,0,1000,13,agent_1,active,-16.472701006860756,5.274540201372151,13,0.013281584,-0.50882775,3.0687833
random_easy,0,1000,14,agent_1,active,-16.390952363301047,5.258190472660209,14,0.023737192,-0.48681888,3.0953798
random_easy,0,1000,15,agent_1,active,-18.421943723696604,5.664388744739321,15,0.009294987,-0.47129747,2.665195
random_easy,0,1000,16,agent_1,active,-22.087482336646723,6.397496467329344,16,0.0012524128,-0.43814957,1.8926451
random_easy,0,1000,17,agent_1,active,-24.64312169830583,6.9086243396611655,17,0.017080307,0.32504475,1.363322
random_easy,0,1000,18,agent_1,active,-27.36665435888634,7.4533308717772675,18,0.037384033,-0.032916516,0.8063637
random_easy,0,1000,19,agent_1,active,-28.189016371752043,7.6178032743504085,19,0.13499069,0.4567826,0.67282736
random_easy,0,1000,20,agent_1,active,-29.410985685358177,7.862197137071635,20,0.011226177,-0.11954212,0.42205453
random_easy,0,1000,21,agent_1,active,-28.242931922552366,7.628586384510473,21,0.044703007,0.51147187,0.6771953
random_easy,0,1000,22,agent_1,active,-28.477296876093902,7.6754593752187805,22,0.002554655,-0.30608884,0.62911844
random_easy,0,1000,23,agent_1,active,-26.734740860230488,7.326948172046097,23,0.036789417,0.4315838,1.0032761
random_easy,0,1000,24,agent_1,active,-24.550723680326932,6.890144736065386,24,0.005906105,0.09515428,1.463851
