environment,worker,episode,return,mean_time_travel,success_rate,collision_rate
random_easy,0,1,-71892.6640625,100.0,0.0,0.0
random_easy,0,2,6236.697930791483,27.0,0.0,1.0
random_easy,0,3,332.4356662172271,20.0,0.0,1.0
random_easy,0,4,3319.145372637405,29.0,0.0,1.0
random_easy,0,5,-14226.9833984375,100.0,0.0,0.0
random_easy,0,6,329.07424464283383,8.0,0.0,1.0
random_easy,0,7,-82972.9921875,100.0,0.0,0.0
random_easy,0,8,-4361.479246504862,24.0,0.0,1.0
random_easy,0,9,-88366.25,100.0,0.0,0.0
random_easy,0,10,-281.6574826452247,3.0,0.0,1.0
random_easy,0,11,-146464.5,100.0,0.0,0.0
random_easy,0,12,4491.938286031369,20.0,0.0,1.0
random_easy,0,13,-42971.18359375,100.0,0.0,0.0
random_easy,0,14,1087.4648962782533,10.0,0.0,1.0
random_easy,0,15,-25.490310559663754,11.0,0.0,1.0
random_easy,0,16,2359.363891020067,21.0,0.0,1.0
random_easy,0,17,2453.6323481244526,12.0,0.0,1.0
random_easy,0,18,-1676.8166657124975,76.0,0.0,1.0
random_easy,0,19,-947.7002978461304,9.0,0.0,1.0
random_easy,0,20,3293.431234021509,20.0,0.0,1.0
random_easy,0,21,793.2018773283761,31.0,0.0,1.0
random_easy,0,22,-1174.7354909160492,100.0,0.0,0.0
random_easy,0,23,3837.546396555463,37.0,0.0,1.0
random_easy,0,24,3037.984130859375,100.0,0.0,0.0
random_easy,0,25,2718.013427734375,100.0,0.0,0.0
random_easy,0,26,4597.237983475868,98.0,0.0,1.0
random_easy,0,27,-346.62939076922106,100.0,0.0,0.0
random_easy,0,28,-300.19894463489896,9.0,0.0,1.0
random_easy,0,29,-1158.7560624848468,100.0,0.0,0.0
random_easy,0,30,728.7946535861565,100.0,0.0,0.0
random_easy,0,31,-215.8060577761674,100.0,0.0,0.0
random_easy,0,32,-257.5304870605469,100.0,0.0,0.0
random_easy,0,33,-337.5275488259996,31.0,0.0,1.0
random_easy,0,34,-2775.0999348258642,100.0,0.0,0.0
random_easy,0,35,12733.641511344564,100.0,0.0,0.0
random_easy,0,36,2709.1212756173204,100.0,0.0,0.0
random_easy,0,37,-1087.4798576628357,100.0,0.0,0.0
random_easy,0,38,117.17455333065402,10.0,0.0,1.0
random_easy,0,39,526.2076772681405,100.0,0.0,0.0
random_easy,0,40,343.5811344954643,100.0,0.0,0.0
random_easy,0,41,1.4644700133128907,100.0,0.0,0.0
random_easy,0,42,737.4682744364314,100.0,0.0,0.0
random_easy,0,43,-959.8207876691255,100.0,0.0,0.0
random_easy,0,44,8244.501244182624,100.0,0.0,0.0
random_easy,0,45,4417.61962890625,100.0,0.0,0.0
random_easy,0,46,-686.1158447087292,100.0,0.0,0.0
random_easy,0,47,-1612.8098236336355,100.0,0.0,0.0
random_easy,0,48,323.1815701255596,100.0,0.0,0.0
random_easy,0,49,-455.18653635585326,100.0,0.0,0.0
random_easy,0,50,-1016.7831487511306,100.0,0.0,0.0
random_easy,0,51,602.3072508937587,100.0,0.0,0.0
random_easy,0,52,-1414.9659922174167,100.0,0.0,0.0
random_easy,0,53,-847.0476578691024,14.0,0.0,1.0
random_easy,0,54,12.90099499523933,100.0,0.0,0.0
random_easy,0,55,-1884.826904296875,100.0,0.0,0.0
random_easy,0,56,2074.9720042998915,100.0,0.0,0.0
random_easy,0,57,-941.454376780162,100.0,0.0,0.0
random_easy,0,58,-460.48613013154704,100.0,0.0,0.0
random_easy,0,59,785.9118177444778,100.0,0.0,0.0
random_easy,0,60,1836.7134743998045,100.0,0.0,0.0
random_easy,0,61,1253.7861109458872,100.0,0.0,0.0
random_easy,0,62,517.5432941316021,100.0,0.0,0.0
random_easy,0,63,8102.678403667326,100.0,0.0,0.0
random_easy,0,64,-308.62683977053075,100.0,0.0,0.0
random_easy,0,65,-947.970041094643,100.0,0.0,0.0
random_easy,0,66,290.4370644003079,100.0,0.0,0.0
random_easy,0,67,1672.7911501206715,100.0,0.0,0.0
random_easy,0,68,1382.6858313106745,100.0,0.0,0.0
random_easy,0,69,874.5548511774278,100.0,0.0,0.0
random_easy,0,70,34.57664819610699,100.0,0.0,0.0
random_easy,0,71,-1723.9674072265625,100.0,0.0,0.0
random_easy,0,72,1405.8970009824693,100.0,0.0,0.0
random_easy,0,73,345.2653308256818,100.0,0.0,0.0
random_easy,0,74,-1351.5504150390625,100.0,0.0,0.0
random_easy,0,75,203.75665774735592,100.0,0.0,0.0
random_easy,0,76,-1228.6694179864971,100.0,0.0,0.0
random_easy,0,77,-1846.5772539674579,100.0,0.0,0.0
random_easy,0,78,1163.504401410646,100.0,0.0,0.0
random_easy,0,79,546.2334227257054,63.0,0.0,1.0
random_easy,0,80,1586.3888325896905,100.0,0.0,0.0
random_easy,0,81,1753.1056013418233,100.0,0.0,0.0
random_easy,0,82,-11.841693728147604,100.0,0.0,0.0
random_easy,0,83,1700.897287937581,100.0,0.0,0.0
random_easy,0,84,-1363.9313803122275,100.0,0.0,0.0
random_easy,0,85,-652.9420859111631,100.0,0.0,0.0
random_easy,0,86,397.81952645993874,100.0,0.0,0.0
random_easy,0,87,1737.1788660425977,100.0,0.0,0.0
random_easy,0,88,-373.66165214900127,100.0,0.0,0.0
random_easy,0,89,329.187085837285,100.0,0.0,0.0
random_easy,0,90,246.4096501141487,100.0,0.0,0.0
random_easy,0,91,1857.7092239036979,100.0,0.0,0.0
random_easy,0,92,385.68798378384264,100.0,0.0,0.0
random_easy,0,93,409.73248607230727,100.0,0.0,0.0
random_easy,0,94,1408.0172804380582,100.0,0.0,0.0
random_easy,0,95,-936.8844860196295,100.0,0.0,0.0
random_easy,0,96,-1653.2091523134995,100.0,0.0,0.0
