experiment,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state
exp2_fixed_1,20,852,agent_1,12.800986,20.789715,30.220225983760344,-0.6739494800567627,10.210285,1.9665196,0.41324118,12.700242,12.734396,-0.034153655,0.0,0.0,active
exp2_fixed_1,20,853,agent_1,15.868521,21.050707,27.34352006397536,-0.38373497128486633,9.949293,3.078617,-0.32836348,21.5192,34.27516,-0.05571817,0.0,0.0,active
exp2_fixed_1,20,854,agent_1,18.98618,20.75563,24.285504836706757,-0.2306799292564392,10.2443695,3.1315916,-0.17924362,22.546833,56.828423,-0.062143825,0.0,0.0,active
exp2_fixed_1,20,855,agent_1,21.254406,22.125982,22.66413960629831,-0.9578889608383179,8.289159,2.6500404,0.63783205,14.325541,71.23533,-0.14350978,0.0,0.0,active
exp2_fixed_1,20,856,agent_1,23.982521,21.01308,19.719001194523024,-0.031140029430389404,5.837026,2.9463804,-0.93079656,21.445175,92.85378,-0.31678623,0.0,0.0,active
exp2_fixed_1,20,857,agent_1,26.110914,21.936954,18.229980863948366,-0.9218871593475342,3.531756,2.3202586,0.7968595,12.958622,105.9394,-0.44378325,0.0,0.0,active
exp2_fixed_1,20,858,agent_1,27.855188,21.244833,16.37232320504119,-0.15000055730342865,2.2714307,1.8765726,-0.7872701,13.917475,119.980835,-0.5677421,0.0,0.0,active
exp2_fixed_1,20,859,agent_1,27.95755,20.897114,16.11070473325387,0.7722089886665344,2.4315069,0.36247253,-0.90676194,2.868594,123.01387,-0.73218554,0.0,0.0,active
exp2_fixed_1,20,860,agent_1,27.967133,20.893764,16.100710738036877,-0.17621846497058868,2.4272473,0.010151386,0.948317,0.8904118,124.084145,-0.91204655,0.0,0.0,active
exp2_fixed_1,20,861,agent_1,28.02663,20.852486,16.02861781073007,0.09457290172576904,2.4165056,0.07241511,-0.27036667,1.4906753,125.58944,-0.9266662,0.0,0.0,active
exp2_fixed_1,20,862,agent_1,28.089602,20.800161,15.94809403132571,0.1822648048400879,2.4135737,0.081872225,-0.08676604,1.5648577,127.1558,-0.9281719,0.0,0.0,active
exp2_fixed_1,20,863,agent_1,28.120438,20.777174,15.909955599135383,0.12983952462673187,2.4109638,0.03846073,0.05273754,1.2670574,128.42342,-0.9287281,0.0,0.0,active
exp2_fixed_1,20,864,agent_1,28.175201,20.739351,15.843693193449834,0.09408015012741089,2.4052405,0.06655669,0.036152337,1.464164,129.88785,-0.9289895,0.0,0.0,active
