experiment,episode,return_total,mean_v,mean_abs_omega,success_rate,collision_rate,mean_time_travel
exp3_fixed_2,1,675.7434,1.8809644,0.33793244,1.0,0.0,25.0
exp3_fixed_2,2,672.9208,1.5924294,0.31874838,1.0,0.0,41.0
exp3_fixed_2,3,671.3098,1.848487,0.3281339,1.0,0.0,28.0
exp3_fixed_2,4,660.94714,1.9445932,0.34254256,1.0,0.0,28.0
exp3_fixed_2,5,652.1251,1.514416,0.5136736,1.0,0.0,33.0
exp3_fixed_2,6,581.89777,1.6087298,0.44944045,1.0,0.0,25.0
exp3_fixed_2,7,714.61273,1.1934518,0.5435544,1.0,0.0,54.0
exp3_fixed_2,8,621.3506,1.9371647,0.4807115,1.0,0.0,23.0
exp3_fixed_2,9,561.703,1.6742529,0.38495135,1.0,0.0,23.0
exp3_fixed_2,10,717.1011,2.581393,0.32588172,1.0,0.0,19.0
exp3_fixed_2,11,727.945,2.0282288,0.4329278,1.0,0.0,32.0
exp3_fixed_2,12,647.17786,1.8358378,0.38428074,1.0,0.0,27.0
exp3_fixed_2,13,675.9203,1.7845833,0.2772944,1.0,0.0,27.0
exp3_fixed_2,14,726.6345,2.126757,0.29218373,1.0,0.0,27.0
exp3_fixed_2,15,642.59265,1.7907081,0.40724868,1.0,0.0,27.0
exp3_fixed_2,16,648.12054,1.8244281,0.39029187,1.0,0.0,23.0
exp3_fixed_2,17,663.7008,1.8030907,0.345306,1.0,0.0,27.0
exp3_fixed_2,18,694.57275,1.601874,0.26849788,1.0,0.0,36.0
exp3_fixed_2,19,705.61584,1.7691793,0.2632448,1.0,0.0,38.0
exp3_fixed_2,21,246.00621,0.7286905,0.6465569,0.0,0.0,100.0
exp3_fixed_2,22,652.5647,1.8075906,0.3951721,1.0,0.0,25.0
exp3_fixed_2,23,627.5665,1.3320532,0.40992182,1.0,0.0,33.0
exp3_fixed_2,24,749.2855,1.601878,0.21478295,1.0,0.0,41.0
exp3_fixed_2,25,218.39116,0.71987486,0.49134782,0.0,0.0,100.0
exp3_fixed_2,26,658.7296,1.6470114,0.32657245,1.0,0.0,31.0
exp3_fixed_2,27,723.9195,2.0092986,0.31357712,1.0,0.0,29.0
exp3_fixed_2,28,649.0569,1.7504138,0.32816374,1.0,0.0,26.0
exp3_fixed_2,29,656.7904,1.5311788,0.27648342,1.0,0.0,31.0
exp3_fixed_2,30,669.48035,1.4715426,0.26847103,1.0,0.0,35.0
exp3_fixed_2,31,646.3689,1.0401787,0.21448967,1.0,0.0,51.0
exp3_fixed_2,32,659.8451,1.5807198,0.29733476,1.0,0.0,29.0
exp3_fixed_2,33,615.0565,1.7579558,0.23223703,1.0,0.0,21.0
exp3_fixed_2,34,97.81543,1.0895041,0.22765848,0.0,1.0,50.0
