task,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state,block
task7_fixed_random_1,40,348,agent_1,6.193752201218495,28.02105505811332,40.98119449738941,2.23331296353954,2.978944941886681,0.4301316321520193,0.8122818472164397,-2.75327639279251,-3.372233077723858,-2.604122987490287,-0.028301124699391042,0.0,active,0
task7_fixed_random_1,40,349,agent_1,4.423389437590387,26.10068891952884,41.801759127664134,1.9201839797062246,3.4233894375903873,2.6118940294473703,0.37304815116381745,-1.0182000155656221,-4.251268170202738,-2.7432879105770294,-0.028301124699391042,0.0,active,0
task7_fixed_random_1,40,350,agent_1,2.040325797413777,22.01302496963266,42.68498189882508,1.8133252519856182,1.040325797413777,4.731594750230903,0.21695963455263417,-2.2569555169350854,-5.241853041271321,-2.790359393602242,-1.2476002875406798,0.0,active,0
task7_fixed_random_1,40,351,agent_1,1.9315894073716051,21.944675151735094,42.77019538282693,2.297381447887292,0.9315894073716051,0.1284340302491277,-0.48180721394330844,-3.827703110416147,-7.275692913173518,-3.022497585010055,-2.8093253346468163,0.0,active,0
task7_fixed_random_1,40,352,agent_1,0.6893058067292663,21.731481792627868,43.906975620819445,2.701158882831029,0.0,1.260444347360214,-0.39121303719084843,-352.61898347284983,-9.90829541222195,-3.1755452254781433,-152.64265866798013,-200.0,truncated,0
task7_fixed_random_1,60,593,agent_1,25.917574790157392,17.313842599487316,33.19129854864312,0.6820607420237736,4.154133708923857,4.7500351384811665,-0.6010425715651743,26.182325360913065,26.543577533746742,-0.3612521728336776,0.0,0.0,active,0
task7_fixed_random_1,60,594,agent_1,27.852169919777218,16.487543420765352,31.345249559182648,0.5159556188799571,2.147830080222782,2.1036702803208835,0.19737986273551747,0.49006922305325146,27.231094635335566,-0.40021098304716934,-0.15848906832208093,0.0,active,0
task7_fixed_random_1,60,595,agent_1,29.578204978462086,16.366771704432498,29.645275679897217,0.19272238367594902,0.42179502153791404,1.7302551347345452,0.3338059594835939,-207.98386379702058,27.623170568514816,-0.511637401633932,-8.42300237993514,-200.0,truncated,0
task7_fixed_random_1,80,765,agent_1,23.52699683280379,18.990878216782065,18.71648097056383,0.16508442794277345,3.025522898080548,2.5270132963499545,-0.003609717068248175,15.537625887805584,15.537638917862896,-1.30300573128022e-05,0.0,0.0,active,0
task7_fixed_random_1,80,766,agent_1,26.304775086747302,19.523640685001954,15.889381376710855,-0.03300544727291915,4.671297232298216,2.8284073037003035,0.193103025020921,17.75502379839325,33.32995149452837,-0.037301808329543246,0.0,0.0,active,0
